customer_id,signup_date,region,plan_type,monthly_charge,is_churned,churn_date
1,2025-12-28,North America,Enterprise,199.0,0,
2,2026-07-30,APAC,Basic,29.0,0,
3,2025-05-31,APAC,Enterprise,199.0,0,
4,2025-11-15,EMEA,Basic,29.0,0,
5,2025-11-04,North America,Basic,29.0,0,
6,2025-12-08,APAC,Basic,29.0,0,
7,2026-08-09,APAC,Pro,79.0,0,
8,2024-11-29,North America,Basic,29.0,0,
9,2024-11-28,EMEA,Pro,79.0,1,2026-04-30
10,2025-03-11,EMEA,Enterprise,199.0,1,2025-07-01
11,2024-12-09,APAC,Basic,29.0,0,
12,2026-05-07,North America,Basic,29.0,1,2026-08-21
13,2026-08-05,North America,Basic,29.0,0,
14,2025-04-28,EMEA,Enterprise,199.0,0,
15,2025-02-12,North America,Basic,29.0,0,
16,2024-12-14,North America,Basic,29.0,1,2026-08-12
17,2025-05-07,LATAM,Basic,29.0,0,
18,2024-12-10,North America,Basic,29.0,0,
19,2026-04-10,North America,Basic,29.0,0,
20,2026-08-01,EMEA,Enterprise,199.0,0,
21,2026-08-11,EMEA,Pro,79.0,1,2026-09-10
22,2026-04-20,North America,Enterprise,199.0,0,
23,2025-09-17,North America,Basic,29.0,1,2026-09-06
24,2025-06-15,APAC,Pro,79.0,0,
25,2025-12-08,APAC,Basic,29.0,0,
26,2025-02-11,North America,Basic,29.0,0,
27,2026-04-18,North America,Pro,79.0,0,
28,2026-09-08,EMEA,Basic,29.0,0,
29,2025-10-14,LATAM,Pro,79.0,0,
30,2025-08-12,North America,Basic,29.0,0,
31,2024-11-10,LATAM,Enterprise,199.0,0,
32,2025-01-14,North America,Basic,29.0,0,
33,2026-06-28,EMEA,Enterprise,199.0,0,
34,2025-03-16,LATAM,Basic,29.0,0,
35,2024-10-26,APAC,Enterprise,199.0,0,
36,2025-11-26,LATAM,Pro,79.0,0,
37,2025-07-01,APAC,Pro,79.0,0,
38,2024-11-09,APAC,Basic,29.0,0,
39,2026-01-15,North America,Pro,79.0,0,
40,2025-05-17,APAC,Enterprise,199.0,1,2025-09-22
41,2024-12-11,North America,Basic,29.0,0,
42,2025-11-14,North America,Pro,79.0,0,
43,2024-10-29,APAC,Basic,29.0,1,2025-08-22
44,2025-06-29,North America,Enterprise,199.0,1,2026-05-30
45,2025-08-18,EMEA,Pro,79.0,0,
46,2026-05-14,LATAM,Basic,29.0,1,2026-06-18
47,2026-04-05,APAC,Basic,29.0,0,
48,2025-04-20,LATAM,Pro,79.0,0,
49,2025-09-04,North America,Pro,79.0,0,
50,2025-08-04,EMEA,Basic,29.0,0,
51,2025-07-30,EMEA,Basic,29.0,0,
52,2025-10-24,North America,Pro,79.0,0,
53,2025-08-05,LATAM,Pro,79.0,0,
54,2025-05-04,APAC,Basic,29.0,0,
55,2026-01-20,EMEA,Pro,79.0,0,
56,2025-03-23,EMEA,Pro,79.0,0,
57,2026-06-27,North America,Pro,79.0,0,
58,2026-08-20,APAC,Pro,79.0,0,
59,2025-02-28,North America,Pro,79.0,1,2025-12-05
60,2024-12-14,LATAM,Pro,79.0,0,
61,2025-10-29,APAC,Pro,79.0,0,
62,2024-10-06,North America,Pro,79.0,0,
63,2025-12-10,APAC,Enterprise,199.0,0,
64,2026-01-19,APAC,Pro,79.0,1,2026-04-22
65,2025-02-14,LATAM,Basic,29.0,0,
66,2026-06-02,EMEA,Enterprise,199.0,0,
67,2026-03-01,APAC,Basic,29.0,0,
68,2025-03-12,LATAM,Basic,29.0,0,
69,2025-06-11,EMEA,Basic,29.0,0,
70,2026-02-09,North America,Pro,79.0,0,
71,2025-07-20,North America,Basic,29.0,1,2026-02-06
72,2025-02-19,North America,Pro,79.0,0,
73,2025-05-08,North America,Basic,29.0,1,2026-01-01
74,2024-12-03,North America,Basic,29.0,1,2026-03-08
