employee_id,department,region,hire_date,satisfaction_score,is_active
1,Sales,North America,2024-11-02,3.6,1
2,Sales,North America,2025-12-10,3.6,1
3,Marketing,EMEA,2024-04-10,3.7,1
4,Finance,LATAM,2026-06-17,3.9,1
5,Engineering,EMEA,2022-08-10,3.3,0
6,Engineering,EMEA,2026-02-05,3.8,1
7,Engineering,APAC,2020-01-30,3.9,1
8,Engineering,North America,2022-04-21,3.6,1
9,Engineering,North America,2021-09-25,4.0,1
10,Customer Support,North America,2026-01-04,3.3,1
11,Sales,North America,2024-06-15,4.5,1
12,Sales,APAC,2025-05-30,3.5,1
13,Customer Support,EMEA,2023-06-10,3.3,1
14,Finance,North America,2021-07-19,4.0,1
15,Customer Support,APAC,2025-01-03,1.9,1
16,Marketing,North America,2025-09-13,3.7,1
17,Engineering,EMEA,2020-08-01,4.1,1
18,Marketing,North America,2021-01-08,5.0,1
19,Sales,EMEA,2020-12-27,3.3,1
20,Engineering,North America,2020-06-03,4.3,1
21,Marketing,EMEA,2025-11-04,3.7,1
22,Marketing,North America,2021-12-18,3.0,1
23,Sales,North America,2025-10-23,4.1,1
24,Engineering,EMEA,2025-10-13,4.6,1
25,Customer Support,EMEA,2024-01-13,3.6,1
26,Engineering,North America,2023-02-04,3.6,1
27,Sales,North America,2026-07-28,4.2,1
28,Engineering,APAC,2021-01-04,3.3,1
29,Customer Support,EMEA,2026-07-15,3.5,1
30,Marketing,North America,2022-03-07,5.0,1
31,Sales,North America,2021-12-17,2.8,1
32,Engineering,North America,2023-04-20,3.8,1
33,Engineering,EMEA,2022-11-21,4.2,1
34,Finance,EMEA,2024-12-18,3.7,0
35,Customer Support,APAC,2023-10-23,2.2,0
36,Sales,EMEA,2026-07-31,3.4,1
37,Sales,North America,2024-04-16,2.8,1
38,Marketing,EMEA,2022-07-30,4.0,1
39,Sales,North America,2026-01-03,2.8,1
40,Finance,North America,2021-01-15,4.9,1
41,Customer Support,North America,2026-03-21,2.6,0
