request_id,employee_id,department,submitted_date,amount,category,status
1,123,Customer Support,2026-04-11,302.46,Client Entertainment,Approved
2,95,Engineering,2026-07-27,106.74,Training/Conferences,Approved
3,11,Sales,2025-11-04,359.12,Software/Subscriptions,Approved
4,149,Customer Support,2025-01-04,160.2,Travel,Approved
5,177,Engineering,2024-10-29,266.07,Travel,Approved
6,218,Engineering,2025-12-07,66.36,Software/Subscriptions,Approved
7,102,Customer Support,2026-03-04,37.2,Travel,Approved
8,33,Engineering,2026-05-10,225.71,Software/Subscriptions,Rejected
9,209,Sales,2026-05-03,450.96,Training/Conferences,Approved
10,166,Customer Support,2025-08-03,379.93,Travel,Approved
11,187,Engineering,2025-10-22,130.15,Travel,Approved
12,163,Finance,2025-10-05,83.15,Travel,Approved
13,114,Sales,2024-12-03,75.48,Travel,Approved
14,21,Marketing,2026-03-23,274.92,Software/Subscriptions,Pending
15,72,Customer Support,2026-07-14,219.64,Client Entertainment,Rejected
16,134,Customer Support,2025-12-01,82.12,Office Equipment,Approved
17,199,Engineering,2026-03-10,69.9,Software/Subscriptions,Approved
18,130,Engineering,2025-03-10,186.74,Travel,Rejected
19,169,Finance,2025-01-21,1933.69,Training/Conferences,Approved
20,44,Engineering,2025-08-09,156.02,Travel,Approved
21,40,Finance,2026-05-27,450.62,Travel,Approved
22,78,Engineering,2026-02-13,1873.37,Travel,Approved
23,13,Customer Support,2026-05-10,225.35,Software/Subscriptions,Approved
24,104,Sales,2026-06-13,854.92,Software/Subscriptions,Approved
25,213,Customer Support,2026-01-03,2322.38,Software/Subscriptions,Approved
26,174,Engineering,2025-11-24,433.61,Client Entertainment,Approved
27,13,Customer Support,2025-12-28,315.35,Training/Conferences,Pending
28,197,Engineering,2026-07-08,343.94,Travel,Approved
29,33,Engineering,2024-12-27,2050.57,Client Entertainment,Approved
30,15,Customer Support,2026-03-19,1694.83,Training/Conferences,Pending
31,32,Engineering,2026-03-29,557.24,Client Entertainment,Pending
32,67,Finance,2026-05-17,390.22,Office Equipment,Approved
33,111,Engineering,2026-02-16,25.82,Client Entertainment,Approved
34,115,Sales,2026-03-25,134.59,Travel,Approved
35,27,Sales,2025-07-20,1146.33,Software/Subscriptions,Approved
36,85,Sales,2026-08-26,2040.04,Training/Conferences,Approved
37,8,Engineering,2025-08-02,163.82,Office Equipment,Approved
38,89,Engineering,2025-02-01,1106.66,Travel,Approved
39,65,Finance,2026-03-01,68.51,Software/Subscriptions,Approved
40,127,Sales,2024-12-07,204.48,Client Entertainment,Approved
41,6,Engineering,2026-05-24,129.54,Travel,Approved
42,36,Sales,2025-11-21,408.52,Software/Subscriptions,Approved
43,220,Sales,2025-10-18,93.21,Training/Conferences,Approved
44,117,Engineering,2026-04-22,15.47,Training/Conferences,Approved
45,173,Sales,2025-03-21,2834.43,Travel,Approved
46,167,Sales,2026-08-28,178.41,Travel,Approved
47,163,Finance,2025-07-16,2350.57,Office Equipment,Approved
48,82,Engineering,2025-02-03,352.16,Travel,Rejected
49,119,Customer Support,2026-03-01,163.01,Travel,Approved
50,94,Engineering,2026-01-07,322.96,Client Entertainment,Approved
51,58,Sales,2026-06-06,440.02,Software/Subscriptions,Approved
52,1,Sales,2024-10-05,327.81,Client Entertainment,Approved
53,194,Marketing,2025-11-07,381.1,Office Equipment,Approved
54,21,Marketing,2026-08-19,72.39,Software/Subscriptions,Rejected
55,104,Sales,2025-10-02,405.2,Office Equipment,Pending
56,3,Marketing,2025-10-15,221.73,Travel,Approved
57,7,Engineering,2026-08-28,181.39,Office Equipment,Approved
58,172,Engineering,2025-05-15,244.62,Client Entertainment,Approved
