year,month,region,revenue,units_sold,new_customers
2024,10,North America,613384.97,3370,58
2024,11,North America,587078.86,2967,53
2024,12,North America,641522.38,2739,60
2025,1,North America,533420.82,2853,67
2025,2,North America,503090.14,2758,53
2025,3,North America,493817.72,2240,53
2025,4,North America,485092.94,2476,67
2025,5,North America,545501.12,2439,61
2025,6,North America,516530.47,2274,51
2025,7,North America,575999.0,3190,59
2025,8,North America,584317.12,2477,51
2025,9,North America,550963.52,2863,51
2025,10,North America,769849.52,3720,56
2025,11,North America,680685.94,3625,39
2025,12,North America,780144.14,3417,41
2026,1,North America,629601.18,2641,50
2026,2,North America,612643.78,2375,46
2026,3,North America,606234.38,2704,57
2026,4,North America,660596.97,2878,47
2026,5,North America,673797.84,2978,43
2026,6,North America,667651.0,3635,66
2026,7,North America,627619.79,3089,53
2026,8,North America,621251.15,3127,55
2026,9,North America,632864.01,3129,43
2024,10,EMEA,375989.1,2098,30
2024,11,EMEA,363959.82,2182,35
2024,12,EMEA,361400.68,1606,25
2025,1,EMEA,337505.4,1698,38
2025,2,EMEA,315471.9,1514,30
2025,3,EMEA,318210.33,1764,32
2025,4,EMEA,366291.96,1820,30
2025,5,EMEA,346209.47,1690,49
2025,6,EMEA,365522.63,1723,34
2025,7,EMEA,334806.88,2194,26
2025,8,EMEA,343041.72,2001,41
2025,9,EMEA,340504.57,1510,25
2025,10,EMEA,439642.65,2509,36
2025,11,EMEA,429234.42,2362,19
2025,12,EMEA,451063.52,2415,24
2026,1,EMEA,357534.16,2106,36
2026,2,EMEA,378909.47,2215,40
2026,3,EMEA,384106.41,1731,36
2026,4,EMEA,376606.2,2247,34
2026,5,EMEA,417370.14,2187,32
2026,6,EMEA,364903.4,2373,23
2026,7,EMEA,369734.88,1846,29
2026,8,EMEA,416923.13,2268,31
2026,9,EMEA,374197.86,2072,43
2024,10,APAC,253920.81,1564,27
2024,11,APAC,259082.92,1371,11
2024,12,APAC,218982.21,1232,28
2025,1,APAC,234365.68,1438,23
2025,2,APAC,220990.69,1290,21
2025,3,APAC,219137.02,1415,32
2025,4,APAC,241281.63,1229,36
2025,5,APAC,268388.39,1902,36
2025,6,APAC,255894.6,1905,23
2025,7,APAC,283904.48,1497,27
2025,8,APAC,257981.43,1507,33
2025,9,APAC,281543.29,2129,39
2025,10,APAC,326980.13,2004,28
2025,11,APAC,336180.99,2069,31
2025,12,APAC,293794.59,2013,24
2026,1,APAC,274913.09,1414,24
2026,2,APAC,335359.2,1797,41
2026,3,APAC,307238.45,2465,46
2026,4,APAC,352290.1,1799,35
2026,5,APAC,307895.94,1937,44
2026,6,APAC,314461.84,1738,39
2026,7,APAC,371464.8,2851,32
2026,8,APAC,359742.76,2193,41
2026,9,APAC,353155.73,1860,51
2024,10,LATAM,97909.92,934,9
2024,11,LATAM,101093.51,716,22
2024,12,LATAM,93337.8,834,3
2025,1,LATAM,107569.99,793,16
2025,2,LATAM,95095.11,753,10
2025,3,LATAM,88099.95,833,7
2025,4,LATAM,93521.78,712,10
2025,5,LATAM,91364.37,866,3
2025,6,LATAM,87984.12,655,8
2025,7,LATAM,92069.03,600,12
2025,8,LATAM,107402.78,1131,21
2025,9,LATAM,93022.96,679,5
2025,10,LATAM,97467.88,981,3
2025,11,LATAM,116044.91,892,5
2025,12,LATAM,104791.72,723,17
2026,1,LATAM,108305.97,1048,12
2026,2,LATAM,91469.74,761,5
2026,3,LATAM,99806.15,813,14
2026,4,LATAM,107689.64,785,10
2026,5,LATAM,114394.73,1180,17
2026,6,LATAM,100491.08,883,4
2026,7,LATAM,112274.66,1045,7
2026,8,LATAM,96009.05,790,6
2026,9,LATAM,102183.17,933,3
